text_id,taxis,n_cases
gig_1,hypotactic,6
gig_1,paratactic,5
gig_1000a,hypotactic,1
gig_1000b,hypotactic,6
gig_1000b,paratactic,1
gig_1000c,hypotactic,6
gig_1000c,paratactic,1
gig_1000d,hypotactic,3
gig_1000e,hypotactic,5
gig_1000e,paratactic,1
gig_1001a,hypotactic,2
gig_1001a,paratactic,2
gig_1001c,hypotactic,4
gig_1001c,paratactic,1
gig_1001d,hypotactic,1
gig_1001d,paratactic,2
gig_1001e,hypotactic,4
gig_1002a,hypotactic,7
gig_1002a,paratactic,2
gig_1002b,hypotactic,2
gig_1003,hypotactic,1
gig_1003,paratactic,5
gig_1004,hypotactic,6
gig_1004,paratactic,1
gig_1005a,hypotactic,1
gig_1005a,paratactic,1
gig_1005b,hypotactic,3
gig_1005c,hypotactic,10
gig_1005c,paratactic,6
gig_1006a,hypotactic,5
gig_1006a,paratactic,6
gig_1006b,hypotactic,3
gig_1006b,paratactic,1
gig_1007a,hypotactic,2
gig_1007a,paratactic,1
gig_1007b,hypotactic,4
gig_1007b,paratactic,5
gig_1008,paratactic,2
gig_1009,hypotactic,6
gig_100a,hypotactic,7
gig_100a,paratactic,4
gig_100b,hypotactic,3
gig_100b,paratactic,5
gig_1010a,hypotactic,18
gig_1010a,paratactic,12
gig_1010b,hypotactic,14
gig_1010b,paratactic,5
gig_1010c,hypotactic,13
gig_1010c,paratactic,10
gig_1011,hypotactic,6
gig_1011,paratactic,1
gig_1012,hypotactic,8
gig_1012,paratactic,6
gig_1013,hypotactic,4
gig_1014a,hypotactic,3
gig_1014a,paratactic,3
gig_1014b,hypotactic,8
gig_1014b,paratactic,3
gig_1014c,hypotactic,5
gig_1014c,paratactic,1
gig_1015a,hypotactic,18
gig_1015a,paratactic,7
gig_1015b,hypotactic,14
gig_1015b,paratactic,11
gig_1015c,hypotactic,2
gig_1015c,paratactic,4
gig_1015d,hypotactic,17
gig_1015d,paratactic,12
gig_1015e,hypotactic,13
gig_1015e,paratactic,9
gig_1015f,hypotactic,3
gig_1015f,paratactic,4
gig_1015g,hypotactic,3
gig_1015g,paratactic,3
gig_1015h,hypotactic,6
gig_1015h,paratactic,7
gig_1015i,hypotactic,21
gig_1015i,paratactic,1
gig_1015j,hypotactic,8
gig_1015j,paratactic,2
gig_1015k,hypotactic,10
gig_1015k,paratactic,5
gig_1015l,hypotactic,1
gig_1015l,paratactic,2
gig_1015m,hypotactic,4
gig_1015m,paratactic,3
gig_1015n,hypotactic,10
gig_1015n,paratactic,1
gig_1015o,hypotactic,16
gig_1015o,paratactic,5
gig_1015p,hypotactic,8
gig_1015q,hypotactic,18
gig_1015q,paratactic,8
gig_1016a,hypotactic,3
gig_1016a,paratactic,2
gig_1016b,hypotactic,3
gig_1016b,paratactic,3
gig_1016c,hypotactic,1
gig_1016d,hypotactic,4
gig_1016d,paratactic,4
gig_1017a,hypotactic,3
gig_1017a,paratactic,1
gig_1017b,hypotactic,5
gig_1017b,paratactic,3
gig_1017c,hypotactic,8
gig_1017d,hypotactic,2
gig_1017e,hypotactic,2
gig_1017e,paratactic,1
gig_1017f,hypotactic,3
gig_1017f,paratactic,1
gig_1017g,hypotactic,4
gig_1017g,paratactic,5
gig_1017h,hypotactic,8
gig_1017h,paratactic,5
gig_1017i,hypotactic,11
gig_1017i,paratactic,3
gig_1017j,hypotactic,6
gig_1017j,paratactic,2
gig_1017k,hypotactic,7
gig_1017k,paratactic,4
gig_1017m,hypotactic,2
gig_1017n,hypotactic,9
gig_1017n,paratactic,2
gig_1017o,hypotactic,10
gig_1017o,paratactic,2
gig_1017p,hypotactic,2
gig_1017p,paratactic,1
gig_1017q,hypotactic,5
gig_1017r,hypotactic,3
gig_1017r,paratactic,2
gig_1017s,hypotactic,2
gig_1017s,paratactic,1
gig_1017t,hypotactic,6
gig_1017t,paratactic,2
gig_1017u,hypotactic,3
gig_1017u,paratactic,1
gig_1018a,hypotactic,1
gig_1018a,paratactic,2
gig_1018b,hypotactic,5
gig_1018b,paratactic,1
gig_1018c,hypotactic,7
gig_1018c,paratactic,8
gig_1018d,hypotactic,5
gig_1018e,hypotactic,9
gig_1018e,paratactic,7
gig_1019a,hypotactic,7
gig_1019a,paratactic,3
gig_1019b,hypotactic,4
gig_1019b,paratactic,3
gig_1019c,paratactic,2
gig_1019d,hypotactic,7
gig_1019d,paratactic,8
gig_1019e,hypotactic,3
gig_1019e,paratactic,2
gig_1019f,hypotactic,2
gig_1019f,paratactic,2
gig_1019g,hypotactic,4
gig_1019g,paratactic,3
gig_1019h,hypotactic,1
gig_1019h,paratactic,1
gig_1019i,hypotactic,4
gig_1019i,paratactic,1
gig_1019j,paratactic,1
gig_1019k,hypotactic,6
gig_1019k,paratactic,3
gig_1019l,hypotactic,6
gig_1019l,paratactic,3
gig_1019m,hypotactic,7
gig_1019m,paratactic,2
gig_101a,hypotactic,2
gig_101b,hypotactic,6
gig_101b,paratactic,3
gig_101c,hypotactic,5
gig_101c,paratactic,1
gig_1020a,hypotactic,1
gig_1020a,paratactic,3
gig_1020b,hypotactic,4
gig_1020b,paratactic,1
gig_1020c,paratactic,1
gig_1020d,hypotactic,13
gig_1020e,hypotactic,4
gig_1020g,hypotactic,4
gig_1020g,paratactic,5
gig_1020h,hypotactic,3
gig_1020h,paratactic,3
gig_1020i,hypotactic,3
gig_1020i,paratactic,6
gig_1020j,hypotactic,4
gig_1020j,paratactic,1
gig_1020k,hypotactic,6
gig_1020k,paratactic,3
gig_1020l,paratactic,1
gig_1020m,paratactic,3
gig_1021a,hypotactic,5
gig_1021a,paratactic,1
gig_1021b,hypotactic,4
gig_1021b,paratactic,2
gig_1021c,hypotactic,7
gig_1021c,paratactic,6
gig_1021d,hypotactic,2
gig_1021d,paratactic,6
gig_1021e,hypotactic,1
gig_1022a,hypotactic,2
gig_1022a,paratactic,3
gig_1022b,hypotactic,14
gig_1022b,paratactic,4
gig_1022c,hypotactic,3
gig_1022c,paratactic,3
gig_1022d,hypotactic,16
gig_1022d,paratactic,6
gig_1022e,hypotactic,14
gig_1022e,paratactic,10
gig_1022f,hypotactic,3
gig_1022f,paratactic,7
gig_1022g,hypotactic,2
gig_1022g,paratactic,4
gig_1022h,hypotactic,3
gig_1022i,hypotactic,6
gig_1022i,paratactic,6
gig_1022j,hypotactic,4
gig_1022j,paratactic,5
gig_1022k,hypotactic,2
gig_1022k,paratactic,1
gig_1022l,hypotactic,9
gig_1022l,paratactic,4
gig_1022m,hypotactic,2
gig_1022m,paratactic,1
gig_1023a,hypotactic,6
gig_1023a,paratactic,1
gig_1023b,hypotactic,1
gig_1023b,paratactic,1
gig_1023c,hypotactic,7
gig_1023c,paratactic,4
gig_1023d,hypotactic,8
gig_1023d,paratactic,3
gig_1023e,hypotactic,5
gig_1023e,paratactic,2
gig_1023f,hypotactic,4
gig_1023f,paratactic,2
gig_1023g,hypotactic,4
gig_1023g,paratactic,6
gig_1023h,hypotactic,1
gig_1023i,hypotactic,6
gig_1023i,paratactic,3
gig_1023j,hypotactic,1
gig_1023j,paratactic,2
gig_1023k,hypotactic,5
gig_1023k,paratactic,4
gig_1023l,paratactic,2
gig_1023m,hypotactic,3
gig_1023m,paratactic,1
gig_1023n,hypotactic,1
gig_1023n,paratactic,1
gig_1023o,hypotactic,1
gig_1023o,paratactic,1
gig_1023p,hypotactic,2
gig_1023p,paratactic,1
gig_1023q,paratactic,1
gig_1024a,hypotactic,4
gig_1024a,paratactic,3
gig_1024b,hypotactic,10
gig_1024b,paratactic,4
gig_1024c,hypotactic,9
gig_1024c,paratactic,2
gig_1024d,hypotactic,9
gig_1024d,paratactic,1
gig_1027a,hypotactic,9
gig_1027a,paratactic,4
gig_1027b,paratactic,1
gig_1027c,hypotactic,3
gig_1027c,paratactic,1
gig_1027d,hypotactic,2
gig_1027d,paratactic,1
gig_1027e,hypotactic,8
gig_1028a,hypotactic,9
gig_1028a,paratactic,3
gig_1028b,hypotactic,6
gig_1028b,paratactic,1
gig_1029a,hypotactic,14
gig_1029a,paratactic,13
gig_1029b,hypotactic,3
gig_1029b,paratactic,2
gig_1029c,hypotactic,3
gig_1029c,paratactic,7
gig_1029d,hypotactic,4
gig_1029e,hypotactic,4
gig_1029e,paratactic,4
gig_1029f,hypotactic,5
gig_1029f,paratactic,4
gig_102a,hypotactic,4
gig_102a,paratactic,6
gig_102b,hypotactic,7
gig_102b,paratactic,2
gig_1030,hypotactic,1
gig_1030,paratactic,2
gig_1031a,hypotactic,11
gig_1031a,paratactic,7
gig_1031b,hypotactic,16
gig_1031b,paratactic,6
gig_1031c,hypotactic,14
gig_1031c,paratactic,4
gig_1031d,hypotactic,5
gig_1031d,paratactic,1
gig_1032a,hypotactic,2
gig_1032a,paratactic,2
gig_1032b,hypotactic,7
gig_1032b,paratactic,1
gig_1032c,hypotactic,4
gig_1032c,paratactic,1
gig_1032d,hypotactic,4
gig_1033,hypotactic,2
gig_1033,paratactic,2
gig_1034,hypotactic,7
gig_1034,paratactic,4
gig_1035,hypotactic,3
gig_1035,paratactic,1
gig_1036,hypotactic,10
gig_1036,paratactic,6
gig_1037a,hypotactic,5
gig_1037a,paratactic,3
gig_1037b,hypotactic,7
gig_1037b,paratactic,5
gig_1038a,hypotactic,11
gig_1038a,paratactic,5
gig_1038b,hypotactic,5
gig_1038b,paratactic,2
gig_1039a,hypotactic,3
gig_1039a,paratactic,4
gig_1039b,hypotactic,3
gig_1039b,paratactic,2
gig_1039c,hypotactic,10
gig_1039c,paratactic,2
gig_103a,hypotactic,3
gig_103a,paratactic,1
gig_103b,hypotactic,6
gig_103b,paratactic,3
gig_1040,hypotactic,16
gig_1040,paratactic,6
gig_1041a,hypotactic,6
gig_1041a,paratactic,6
gig_1041c,hypotactic,2
gig_1041d,hypotactic,7
gig_1042a,hypotactic,4
gig_1042a,paratactic,8
gig_1042b,hypotactic,6
gig_1042c,hypotactic,14
gig_1042c,paratactic,3
gig_1043a,hypotactic,3
gig_1043b,paratactic,2
gig_1044a,hypotactic,14
gig_1044a,paratactic,4
gig_1044b,hypotactic,11
gig_1044b,paratactic,3
gig_1044c,hypotactic,6
gig_1044c,paratactic,2
gig_1045a,hypotactic,17
gig_1045a,paratactic,10
gig_1045b,hypotactic,5
gig_1045b,paratactic,1
gig_1045c,hypotactic,7
gig_1045c,paratactic,1
gig_1046a,hypotactic,3
gig_1046a,paratactic,1
gig_1046b,hypotactic,2
gig_1046c,hypotactic,3
gig_1046d,hypotactic,3
gig_1046d,paratactic,1
gig_1047a,hypotactic,3
gig_1047b,hypotactic,3
gig_1047c,hypotactic,1
gig_1047d,hypotactic,5
gig_1047e,hypotactic,2
gig_1047e,paratactic,1
gig_1048a,hypotactic,1
gig_1048b,hypotactic,2
gig_1048b,paratactic,2
gig_1048c,hypotactic,1
gig_1048c,paratactic,4
gig_1049a,paratactic,2
gig_1049b,hypotactic,11
gig_1049b,paratactic,1
gig_1049c,hypotactic,6
gig_1049c,paratactic,2
gig_104a,hypotactic,4
gig_104a,paratactic,7
gig_104b,hypotactic,1
gig_104b,paratactic,3
gig_1050a,hypotactic,3
gig_1050b,hypotactic,7
gig_1051a,hypotactic,3
gig_1051b,hypotactic,2
gig_1051c,hypotactic,5
gig_1051c,paratactic,1
gig_1051d,hypotactic,1
gig_1051d,paratactic,2
gig_1051e,hypotactic,2
gig_1051e,paratactic,3
gig_1051f,hypotactic,7
gig_1051f,paratactic,2
gig_1052a,hypotactic,1
gig_1052b,hypotactic,1
gig_1052b,paratactic,3
gig_1053a,hypotactic,6
gig_1053a,paratactic,4
gig_1053b,hypotactic,8
gig_1053b,paratactic,2
gig_1053c,hypotactic,8
gig_1053c,paratactic,6
gig_1053d,hypotactic,9
gig_1053d,paratactic,6
gig_1053e,hypotactic,4
gig_1053e,paratactic,1
gig_1054a,hypotactic,5
gig_1054a,paratactic,5
gig_1054b,hypotactic,2
gig_1054b,paratactic,6
gig_1054c,hypotactic,10
gig_1054c,paratactic,6
gig_1054d,hypotactic,9
gig_1054d,paratactic,5
gig_1054e,hypotactic,3
gig_1054e,paratactic,2
gig_1055a,hypotactic,1
gig_1055a,paratactic,6
gig_1055b,hypotactic,4
gig_1055b,paratactic,10
gig_1055c,hypotactic,19
gig_1055c,paratactic,10
gig_1055d,hypotactic,3
gig_1055d,paratactic,5
gig_1055e,hypotactic,8
gig_1055e,paratactic,7
gig_1055f,hypotactic,2
gig_1055f,paratactic,5
gig_1056a,hypotactic,5
gig_1056a,paratactic,6
gig_1056b,hypotactic,12
gig_1056b,paratactic,7
gig_1056c,hypotactic,3
gig_1056c,paratactic,1
gig_1056d,hypotactic,8
gig_1057a,hypotactic,8
gig_1057a,paratactic,4
gig_1057b,hypotactic,11
gig_1057b,paratactic,6
gig_1057c,hypotactic,31
gig_1057c,paratactic,13
gig_1057d,hypotactic,4
gig_1057d,paratactic,4
gig_1057e,hypotactic,13
gig_1057e,paratactic,5
gig_1057f,hypotactic,1
gig_1057f,paratactic,4
gig_1058a,hypotactic,12
gig_1058a,paratactic,6
gig_1058b,hypotactic,12
gig_1058b,paratactic,8
gig_1058c,hypotactic,16
gig_1058c,paratactic,9
gig_1058d,hypotactic,11
gig_1058d,paratactic,6
gig_1058e,hypotactic,6
gig_1058e,paratactic,1
gig_1058f,hypotactic,8
gig_1058f,paratactic,3
gig_1059a,hypotactic,10
gig_1059a,paratactic,9
gig_1059b,hypotactic,2
gig_1059b,paratactic,2
gig_1059c,hypotactic,10
gig_1059c,paratactic,1
gig_1059d,hypotactic,1
gig_1059d,paratactic,2
gig_1059e,hypotactic,1
gig_1059e,paratactic,7
gig_105a,hypotactic,7
gig_105a,paratactic,5
gig_105b,hypotactic,6
gig_105b,paratactic,5
gig_1060a,hypotactic,2
gig_1060a,paratactic,1
gig_1060b,hypotactic,4
gig_1060b,paratactic,4
gig_1060c,hypotactic,9
gig_1060c,paratactic,2
gig_1060d,hypotactic,3
gig_1060d,paratactic,2
gig_1060e,hypotactic,7
gig_1060e,paratactic,3
gig_1060f,hypotactic,6
gig_1061a,hypotactic,14
gig_1061a,paratactic,5
gig_1061b,hypotactic,23
gig_1061b,paratactic,21
gig_1061c,hypotactic,11
gig_1061c,paratactic,7
gig_1061d,hypotactic,6
gig_1061d,paratactic,3
gig_1061e,hypotactic,4
gig_1061e,paratactic,4
gig_1061f,hypotactic,14
gig_1061f,paratactic,16
gig_1062a,hypotactic,6
gig_1062a,paratactic,3
gig_1062b,hypotactic,5
gig_1062b,paratactic,4
gig_1062c,hypotactic,14
gig_1062c,paratactic,8
gig_1062d,hypotactic,2
gig_1062d,paratactic,1
gig_1062e,hypotactic,3
gig_1062e,paratactic,7
gig_1063a,hypotactic,6
gig_1063a,paratactic,1
gig_1063b,hypotactic,4
gig_1063b,paratactic,4
gig_1063c,hypotactic,11
gig_1063c,paratactic,10
gig_1063d,hypotactic,4
gig_1063d,paratactic,4
gig_1063e,hypotactic,7
gig_1063e,paratactic,7
gig_1063f,hypotactic,2
gig_1063f,paratactic,1
gig_1064a,hypotactic,1
gig_1064a,paratactic,2
gig_1064b,hypotactic,3
gig_1064b,paratactic,10
gig_1064c,hypotactic,12
gig_1064c,paratactic,19
gig_1064d,hypotactic,6
gig_1064d,paratactic,7
gig_1064e,hypotactic,8
gig_1064e,paratactic,7
gig_1064f,hypotactic,1
gig_1064f,paratactic,2
gig_1065a,hypotactic,13
gig_1065a,paratactic,3
gig_1065b,hypotactic,5
gig_1065b,paratactic,6
gig_1065c,hypotactic,6
gig_1065c,paratactic,4
gig_1066a,hypotactic,2
gig_1066a,paratactic,2
gig_1066b,hypotactic,7
gig_1066b,paratactic,7
gig_1066c,hypotactic,27
gig_1066c,paratactic,10
gig_1066d,hypotactic,3
gig_1066d,paratactic,3
gig_1066e,hypotactic,11
gig_1066e,paratactic,2
gig_1066f,hypotactic,6
gig_1066f,paratactic,3
gig_1067a,hypotactic,6
gig_1067a,paratactic,1
gig_1067b,hypotactic,14
gig_1067b,paratactic,5
gig_1067c,hypotactic,27
gig_1067c,paratactic,7
gig_1067d,hypotactic,5
gig_1067d,paratactic,7
gig_1067e,hypotactic,6
gig_1067e,paratactic,6
gig_1068a,hypotactic,19
gig_1068a,paratactic,12
gig_1068b,hypotactic,5
gig_1068b,paratactic,6
gig_1069a,hypotactic,10
gig_1069a,paratactic,9
gig_1069b,hypotactic,1
gig_1069b,paratactic,4
gig_106a,hypotactic,11
gig_106a,paratactic,11
gig_1070,hypotactic,4
gig_1070,paratactic,3
gig_1071,hypotactic,5
gig_1071,paratactic,10
gig_1072a,hypotactic,9
gig_1072a,paratactic,6
gig_1072b,hypotactic,9
gig_1072b,paratactic,2
gig_1073,hypotactic,13
gig_1073,paratactic,5
gig_1074a,hypotactic,21
gig_1074a,paratactic,6
gig_1074b,hypotactic,12
gig_1074b,paratactic,9
gig_1075a,hypotactic,19
gig_1075a,paratactic,8
gig_1075b,hypotactic,5
gig_1075b,paratactic,11
gig_1076a,hypotactic,13
gig_1076a,paratactic,3
gig_1076b,hypotactic,9
gig_1076b,paratactic,6
gig_1077a,hypotactic,12
gig_1077a,paratactic,6
gig_1077b,hypotactic,33
gig_1077b,paratactic,10
gig_1078a,hypotactic,24
gig_1078a,paratactic,8
gig_1078b,hypotactic,17
gig_1078b,paratactic,11
gig_1079,hypotactic,11
gig_1079,paratactic,9
gig_107a,hypotactic,12
gig_107a,paratactic,3
gig_107b,hypotactic,10
gig_107b,paratactic,6
gig_1080a,hypotactic,9
gig_1080a,paratactic,4
gig_1080b,hypotactic,7
gig_1080b,paratactic,5
gig_1081,hypotactic,10
gig_1081,paratactic,8
gig_1082a,hypotactic,5
gig_1082a,paratactic,2
gig_1082b,hypotactic,16
gig_1082b,paratactic,9
gig_1083a,hypotactic,3
gig_1083a,paratactic,5
gig_1083b,hypotactic,8
gig_1083b,paratactic,3
gig_1084a,hypotactic,11
gig_1084a,paratactic,12
gig_1084b,hypotactic,11
gig_1084b,paratactic,6
gig_1085a,hypotactic,5
gig_1085a,paratactic,2
gig_1085b,hypotactic,9
gig_1085b,paratactic,2
gig_1086,hypotactic,3
gig_1086,paratactic,2
gig_1087a,hypotactic,7
gig_1087a,paratactic,4
gig_1087b,hypotactic,7
gig_1087b,paratactic,3
gig_1088a,hypotactic,12
gig_1088a,paratactic,7
gig_1088b,hypotactic,19
gig_1088b,paratactic,9
gig_1089a,hypotactic,13
gig_1089a,paratactic,6
gig_1089b,hypotactic,11
gig_1089b,paratactic,8
gig_108a,hypotactic,6
gig_108a,paratactic,1
gig_108b,hypotactic,1
gig_108b,paratactic,3
gig_108c,hypotactic,5
gig_108c,paratactic,3
gig_1090,hypotactic,11
gig_1090,paratactic,6
gig_1091b,hypotactic,2
gig_1091b,paratactic,1
gig_1091c,hypotactic,4
gig_1091c,paratactic,1
gig_1091d,hypotactic,12
gig_1091d,paratactic,1
gig_1091e,hypotactic,9
gig_1091e,paratactic,2
gig_1091f,hypotactic,5
gig_1091f,paratactic,1
gig_1092a,hypotactic,1
gig_1092b,hypotactic,2
gig_1092b,paratactic,3
gig_1092c,hypotactic,5
gig_1092c,paratactic,1
gig_1092d,hypotactic,6
gig_1092d,paratactic,1
gig_1092e,hypotactic,4
gig_1092e,paratactic,3
gig_1093a,paratactic,2
gig_1093b,hypotactic,2
gig_1093c,hypotactic,1
gig_1093c,paratactic,1
gig_1093d,hypotactic,2
gig_1093e,hypotactic,2
gig_1093e,paratactic,4
gig_1094a,hypotactic,2
gig_1094a,paratactic,1
gig_1094b,hypotactic,2
gig_1094c,hypotactic,1
gig_1094c,paratactic,4
gig_1094d,hypotactic,10
gig_1094d,paratactic,2
gig_1094e,hypotactic,2
gig_1094e,paratactic,1
gig_1095a,hypotactic,1
gig_1095a,paratactic,1
gig_1095b,hypotactic,7
gig_1095b,paratactic,9
gig_1095c,hypotactic,1
gig_1095d,hypotactic,15
gig_1095d,paratactic,10
gig_1095e,hypotactic,7
gig_1095e,paratactic,4
gig_1095f,hypotactic,3
gig_1096a,hypotactic,1
gig_1096a,paratactic,1
gig_1096b,hypotactic,4
gig_1096b,paratactic,1
gig_1096c,hypotactic,4
gig_1096c,paratactic,1
gig_1096d,hypotactic,3
gig_1096d,paratactic,3
gig_1096e,hypotactic,4
gig_1096e,paratactic,3
gig_1097a,hypotactic,6
gig_1097a,paratactic,2
gig_1097b,hypotactic,3
gig_1097b,paratactic,2
gig_1097c,hypotactic,2
gig_1097c,paratactic,1
gig_1097d,hypotactic,8
gig_1097d,paratactic,7
gig_1097e,hypotactic,5
gig_1097e,paratactic,6
gig_1097f,hypotactic,14
gig_1097f,paratactic,6
gig_1098a,hypotactic,4
gig_1098a,paratactic,1
gig_1098b,hypotactic,4
gig_1098b,paratactic,4
gig_1098c,hypotactic,2
gig_1098c,paratactic,2
gig_1098d,hypotactic,11
gig_1098d,paratactic,5
gig_1098e,hypotactic,13
gig_1098e,paratactic,6
gig_1098f,hypotactic,3
gig_1098f,paratactic,3
gig_1099a,hypotactic,4
gig_1099a,paratactic,1
gig_1099b,hypotactic,5
gig_1099b,paratactic,1
gig_1099c,hypotactic,2
gig_1099c,paratactic,4
gig_1099d,hypotactic,10
gig_1099d,paratactic,2
gig_1099e,hypotactic,2
gig_1099e,paratactic,1
gig_1099f,hypotactic,1
gig_109a,hypotactic,10
gig_109b,paratactic,3
gig_10a,hypotactic,1
gig_10a,paratactic,4
gig_1100a,hypotactic,3
gig_1100b,hypotactic,2
gig_1100b,paratactic,1
gig_1100c,hypotactic,1
gig_1100c,paratactic,2
gig_1100d,hypotactic,4
gig_1100d,paratactic,2
gig_1100e,hypotactic,7
gig_1100e,paratactic,1
gig_1100f,hypotactic,5
gig_1100f,paratactic,1
gig_1101a,paratactic,1
gig_1101b,hypotactic,2
gig_1101b,paratactic,3
gig_1101c,hypotactic,6
gig_1101c,paratactic,5
gig_1101d,hypotactic,8
gig_1101d,paratactic,6
gig_1101e,hypotactic,5
gig_1101e,paratactic,2
gig_1102a,hypotactic,1
gig_1102b,hypotactic,3
gig_1102b,paratactic,2
gig_1102c,hypotactic,1
gig_1102c,paratactic,1
gig_1102d,hypotactic,5
gig_1102d,paratactic,3
gig_1102e,hypotactic,11
gig_1102e,paratactic,7
gig_1102f,hypotactic,5
gig_1102f,paratactic,2
gig_1103a,hypotactic,4
gig_1103a,paratactic,3
gig_1103b,hypotactic,1
gig_1103b,paratactic,1
gig_1103c,hypotactic,2
gig_1103c,paratactic,4
gig_1103d,hypotactic,3
gig_1103d,paratactic,2
gig_1103e,hypotactic,2
gig_1103e,paratactic,1
gig_1103f,hypotactic,3
gig_1103f,paratactic,1
gig_1104,hypotactic,6
gig_1104,paratactic,3
gig_1105a,hypotactic,4
gig_1105b,hypotactic,5
gig_1105b,paratactic,2
gig_1105c,hypotactic,7
gig_1105c,paratactic,3
gig_1105d,hypotactic,13
gig_1105d,paratactic,10
gig_1105e,hypotactic,9
gig_1105e,paratactic,3
gig_1105f,hypotactic,18
gig_1105f,paratactic,11
gig_1106a,hypotactic,7
gig_1106a,paratactic,8
gig_1106b,hypotactic,8
gig_1106b,paratactic,1
gig_1106c,hypotactic,3
gig_1106c,paratactic,2
gig_1106d,hypotactic,6
gig_1106e,hypotactic,13
gig_1106e,paratactic,5
gig_1106f,hypotactic,11
gig_1106f,paratactic,1
gig_1107a,hypotactic,5
gig_1107a,paratactic,3
gig_1107b,hypotactic,6
gig_1107b,paratactic,1
gig_1108a,hypotactic,1
gig_1108b,hypotactic,5
gig_1108b,paratactic,5
gig_1108c,hypotactic,1
gig_1108c,paratactic,4
gig_1108d,hypotactic,2
gig_1108d,paratactic,6
gig_1108e,hypotactic,2
gig_1108e,paratactic,5
gig_1108f,hypotactic,1
gig_1108f,paratactic,1
gig_1109a,hypotactic,3
gig_1109a,paratactic,5
gig_1109b,hypotactic,5
gig_1109b,paratactic,5
gig_1109c,hypotactic,4
gig_1109c,paratactic,2
gig_1109d,hypotactic,11
gig_1109d,paratactic,7
gig_1109e,hypotactic,6
gig_1109e,paratactic,1
gig_110a,hypotactic,9
gig_110a,paratactic,4
gig_110b,hypotactic,5
gig_110b,paratactic,2
gig_1110,hypotactic,10
gig_1110,paratactic,6
gig_1111a,hypotactic,30
gig_1111a,paratactic,8
gig_1111b,hypotactic,23
gig_1111b,paratactic,12
gig_1112a,hypotactic,3
gig_1112a,paratactic,1
gig_1112b,hypotactic,1
